,srawVOC,srawNOX,voc_index_value,nox_index_value,timestamp,epoch
0,31338.0,18195.0,0.0,0.0,15396.0,1666306356.1304457
1,31273.0,18183.0,0.0,0.0,15454.0,1666306356.1904414
2,31346.0,18077.0,0.0,0.0,17395.0,1666306358.1243234
3,31342.0,18077.0,0.0,0.0,17455.0,1666306358.1853235
4,31401.0,18001.0,0.0,0.0,19395.0,1666306360.1357226
5,31384.0,17999.0,0.0,0.0,19454.0,1666306360.195723
6,31413.0,17939.0,0.0,0.0,21396.0,1666306362.1298978
7,31402.0,17933.0,0.0,0.0,21453.0,1666306362.1902995
8,31411.0,17884.0,0.0,0.0,23397.0,1666306364.139503
9,31370.0,17886.0,0.0,0.0,23453.0,1666306364.1853745
10,31378.0,17842.0,0.0,0.0,25396.0,1666306366.1361763
11,31394.0,17838.0,0.0,0.0,25454.0,1666306366.1954606
12,31527.0,17794.0,0.0,0.0,27395.0,1666306368.1295059
13,31411.0,17802.0,0.0,0.0,27455.0,1666306368.190624
14,31476.0,17765.0,0.0,0.0,29395.0,1666306370.1409354
15,31461.0,17767.0,0.0,0.0,29454.0,1666306370.200528
16,31432.0,17738.0,0.0,0.0,31396.0,1666306372.1357942
17,31421.0,17730.0,0.0,0.0,31453.0,1666306372.1957953
18,31463.0,17712.0,0.0,0.0,33397.0,1666306374.1453574
19,31477.0,17704.0,0.0,0.0,33453.0,1666306374.190513
20,31472.0,17686.0,0.0,0.0,35396.0,1666306376.1406476
21,31467.0,17676.0,0.0,0.0,35454.0,1666306376.201135
22,31574.0,17660.0,0.0,0.0,37395.0,1666306378.13604
23,31537.0,17661.0,0.0,0.0,37455.0,1666306378.1965039
24,31510.0,17643.0,0.0,0.0,39395.0,1666306380.1458948
25,31496.0,17642.0,0.0,0.0,39454.0,1666306380.1902797
26,31509.0,17624.0,0.0,0.0,41396.0,1666306382.1410964
27,31475.0,17613.0,0.0,0.0,41453.0,1666306382.201041
28,31476.0,17600.0,0.0,0.0,43397.0,1666306384.1357582
29,31467.0,17598.0,0.0,0.0,43453.0,1666306384.197013
30,31489.0,17579.0,0.0,0.0,45396.0,1666306386.1463559
31,31521.0,17582.0,0.0,0.0,45454.0,1666306386.2059822
32,31517.0,17557.0,0.0,0.0,47395.0,1666306388.1406863
33,31541.0,17563.0,0.0,0.0,47455.0,1666306388.201511
34,31462.0,17545.0,0.0,0.0,49395.0,1666306390.1362948
35,31513.0,17545.0,0.0,0.0,49454.0,1666306390.197297
36,31613.0,17522.0,0.0,0.0,51396.0,1666306392.1483002
37,31554.0,17527.0,0.0,0.0,51453.0,1666306392.2072968
38,31485.0,17509.0,0.0,0.0,53397.0,1666306394.1463
39,31478.0,17511.0,0.0,0.0,53453.0,1666306394.207298
40,31536.0,17502.0,0.0,0.0,55396.0,1666306396.1542997
41,31526.0,17500.0,0.0,0.0,55454.0,1666306396.201298
42,31643.0,17485.0,0.0,0.0,57395.0,1666306398.1462247
43,31546.0,17481.0,1.0,1.0,57455.0,1666306398.2062342
44,31590.0,17470.0,1.0,1.0,59395.0,1666306400.1421156
45,31609.0,17470.0,1.0,1.0,59454.0,1666306400.2019227
46,31543.0,17449.0,2.0,1.0,61396.0,1666306402.1520493
47,31565.0,17446.0,4.0,1.0,61453.0,1666306402.2120552
48,31587.0,17432.0,7.0,1.0,63397.0,1666306404.1470518
49,31573.0,17432.0,10.0,1.0,63453.0,1666306404.2067063
50,31589.0,17411.0,13.0,1.0,65396.0,1666306406.1423771
51,31579.0,17420.0,16.0,1.0,65454.0,1666306406.202859
52,31568.0,17403.0,20.0,1.0,67395.0,1666306408.2567005
53,31579.0,17403.0,23.0,1.0,67455.0,1666306408.3414626
54,31599.0,17386.0,26.0,1.0,69395.0,1666306410.2558887
55,31628.0,17380.0,28.0,1.0,69454.0,1666306410.3407931
56,31533.0,17375.0,32.0,1.0,71396.0,1666306412.2650154
57,31561.0,17370.0,36.0,1.0,71453.0,1666306412.348652
58,31549.0,17359.0,39.0,1.0,73397.0,1666306414.5156052
59,31531.0,17361.0,42.0,1.0,73453.0,1666306414.6038644
60,31548.0,17335.0,45.0,1.0,75396.0,1666306416.1475947
61,31552.0,17339.0,48.0,1.0,75454.0,1666306416.207592
62,31569.0,17327.0,50.0,1.0,77395.0,1666306418.1575017
63,31558.0,17318.0,53.0,1.0,77455.0,1666306418.217249
64,31632.0,17300.0,54.0,1.0,79395.0,1666306420.1524684
65,31552.0,17313.0,56.0,1.0,79454.0,1666306420.2132366
66,31590.0,17304.0,58.0,1.0,81396.0,1666306422.1470425
67,31592.0,17299.0,59.0,1.0,81453.0,1666306422.2076197
68,31536.0,17281.0,62.0,1.0,83397.0,1666306424.15779
69,31535.0,17282.0,64.0,1.0,83453.0,1666306424.2184033
70,31536.0,17288.0,67.0,1.0,85396.0,1666306426.152572
71,31587.0,17296.0,68.0,1.0,85454.0,1666306426.2127633
72,31614.0,17273.0,68.0,1.0,87395.0,1666306428.1628542
73,31557.0,17280.0,70.0,1.0,87454.0,1666306428.2075317
74,31560.0,17263.0,71.0,1.0,89396.0,1666306430.1586869
75,31559.0,17261.0,73.0,1.0,89453.0,1666306430.2176158
76,31558.0,17272.0,74.0,1.0,91397.0,1666306432.1522584
77,31567.0,17267.0,75.0,1.0,91452.0,1666306432.212845
78,31517.0,17255.0,78.0,1.0,93398.0,1666306434.1629534
79,31570.0,17253.0,79.0,1.0,93452.0,1666306434.2073245
80,31556.0,17258.0,80.0,1.0,95397.0,1666306436.1573596
81,31530.0,17253.0,81.0,1.0,95453.0,1666306436.217989
82,31525.0,17232.0,83.0,1.0,97396.0,1666306438.152387
83,31517.0,17243.0,85.0,1.0,97454.0,1666306438.2121794
84,31561.0,17231.0,85.0,1.0,99396.0,1666306440.1637518
