,_415,_445,_480,_515,_clear_1,_nir_1,_555,_590,_630,_680,_clear_2,_nir_2,flicker,timestamp,epoch
0,296.0,400.0,552.0,718.0,7500.0,2750.0,1677.0,1426.0,2548.0,1967.0,7491.0,2749.0,1.0,92028091.0,1666301114.2008598
1,296.0,400.0,550.0,717.0,7498.0,2765.0,1666.0,1413.0,2542.0,1970.0,7548.0,2808.0,1.0,92032989.0,1666301119.3758428
2,296.0,400.0,551.0,719.0,7607.0,2818.0,1667.0,1407.0,2542.0,1962.0,7567.0,2796.0,1.0,92038111.0,1666301124.1276731
3,296.0,399.0,551.0,717.0,7596.0,2813.0,1671.0,1410.0,2548.0,1960.0,7591.0,2818.0,1.0,92042989.0,1666301129.1185706
4,295.0,399.0,549.0,715.0,7593.0,2826.0,1672.0,1409.0,2546.0,1953.0,7582.0,2818.0,1.0,92048091.0,1666301134.1029162
5,293.0,398.0,548.0,712.0,7578.0,2816.0,1672.0,1407.0,2546.0,1953.0,7595.0,2827.0,1.0,92053010.0,1666301139.1278934
6,293.0,396.0,546.0,708.0,7538.0,2800.0,1665.0,1401.0,2535.0,1943.0,7543.0,2803.0,1.0,92058091.0,1666301144.1388113
7,292.0,396.0,544.0,707.0,7536.0,2796.0,1666.0,1401.0,2544.0,1952.0,7608.0,2823.0,1.0,92062989.0,1666301149.1180458
8,298.0,403.0,555.0,724.0,7765.0,2894.0,1668.0,1438.0,2583.0,1967.0,7310.0,2646.0,1.0,92068111.0,1666301154.1436584
9,294.0,396.0,540.0,708.0,7268.0,2654.0,1675.0,1439.0,2592.0,1972.0,7309.0,2669.0,1.0,92072989.0,1666301159.135461
10,295.0,396.0,542.0,708.0,7293.0,2674.0,1666.0,1433.0,2583.0,1959.0,7295.0,2636.0,1.0,92078091.0,1666301164.4138815
11,294.0,395.0,539.0,704.0,7285.0,2638.0,1663.0,1430.0,2576.0,1953.0,7276.0,2632.0,1.0,92083009.0,1666301169.1453178
12,293.0,393.0,536.0,700.0,7227.0,2602.0,1657.0,1426.0,2568.0,1947.0,7244.0,2612.0,1.0,92088091.0,1666301174.138848
13,293.0,393.0,536.0,701.0,7252.0,2620.0,1657.0,1425.0,2569.0,1948.0,7254.0,2618.0,1.0,92092989.0,1666301179.2121406
14,293.0,393.0,535.0,699.0,7245.0,2616.0,1656.0,1421.0,2565.0,1942.0,7244.0,2614.0,1.0,92098112.0,1666301184.145222
15,291.0,393.0,534.0,696.0,7230.0,2610.0,1650.0,1416.0,2553.0,1932.0,7204.0,2610.0,1.0,92102989.0,1666301189.150141
16,291.0,390.0,532.0,691.0,7183.0,2598.0,1645.0,1410.0,2527.0,1925.0,7160.0,2584.0,1.0,92108091.0,1666301194.1356251
17,291.0,390.0,530.0,690.0,7161.0,2576.0,1636.0,1401.0,2513.0,1919.0,7174.0,2608.0,1.0,92113009.0,1666301199.1463134
18,289.0,390.0,529.0,688.0,7198.0,2626.0,1635.0,1396.0,2517.0,1911.0,7190.0,2624.0,1.0,92118091.0,1666301204.1550403
19,288.0,387.0,526.0,684.0,7180.0,2626.0,1630.0,1392.0,2511.0,1910.0,7182.0,2621.0,1.0,92122989.0,1666301209.4606109
20,288.0,387.0,526.0,684.0,7175.0,2618.0,1630.0,1390.0,2510.0,1903.0,7173.0,2617.0,1.0,92128111.0,1666301214.16112
21,287.0,386.0,525.0,682.0,7154.0,2606.0,1629.0,1388.0,2507.0,1898.0,7158.0,2608.0,1.0,92132989.0,1666301219.1529057
22,288.0,392.0,537.0,696.0,7570.0,2806.0,1700.0,1398.0,2634.0,1955.0,7974.0,3035.0,1.0,92138091.0,1666301224.136409
