,_415,_445,_480,_515,_clear_1,_nir_1,_555,_590,_630,_680,_clear_2,_nir_2,flicker,timestamp,epoch
0,477.0,813.0,1183.0,1600.0,6280.0,1558.0,2742.0,2785.0,3583.0,2840.0,6303.0,1566.0,1.0,84422989.0,1666293506.4069288
1,477.0,815.0,1184.0,1601.0,6315.0,1570.0,2744.0,2788.0,3586.0,2844.0,6313.0,1571.0,1.0,84428091.0,1666293511.647919
2,477.0,814.0,1186.0,1602.0,6313.0,1572.0,2746.0,2789.0,3587.0,2845.0,6317.0,1572.0,1.0,84433009.0,1666293516.4119213
3,477.0,815.0,1187.0,1602.0,6318.0,1574.0,2747.0,2789.0,3588.0,2844.0,6316.0,1574.0,1.0,84438091.0,1666293521.4229198
4,478.0,814.0,1185.0,1602.0,6319.0,1574.0,2746.0,2788.0,3588.0,2846.0,6303.0,1564.0,1.0,84442989.0,1666293526.4029195
5,478.0,815.0,1185.0,1602.0,6301.0,1562.0,2740.0,2784.0,3581.0,2840.0,6278.0,1552.0,1.0,84448112.0,1666293531.427924
6,477.0,816.0,1187.0,1603.0,6305.0,1564.0,2747.0,2790.0,3592.0,2848.0,6309.0,1566.0,1.0,84452989.0,1666293536.4189205
7,479.0,817.0,1188.0,1609.0,6308.0,1570.0,2757.0,2800.0,3603.0,2860.0,6314.0,1570.0,1.0,84458091.0,1666293541.4993427
8,479.0,816.0,1190.0,1608.0,6314.0,1568.0,2748.0,2793.0,3592.0,2849.0,6317.0,1570.0,1.0,84463009.0,1666293546.4958053
9,477.0,815.0,1187.0,1605.0,6319.0,1570.0,2745.0,2788.0,3588.0,2847.0,6305.0,1563.0,1.0,84468091.0,1666293551.4244564
10,479.0,818.0,1190.0,1608.0,6313.0,1568.0,2756.0,2800.0,3604.0,2858.0,6317.0,1568.0,1.0,84472989.0,1666293556.7050734
11,477.0,817.0,1187.0,1607.0,6323.0,1574.0,2751.0,2795.0,3596.0,2853.0,6327.0,1573.0,1.0,84478111.0,1666293561.443774
12,479.0,818.0,1189.0,1608.0,6335.0,1576.0,2752.0,2795.0,3596.0,2855.0,6333.0,1578.0,1.0,84482989.0,1666293566.4396896
13,479.0,817.0,1191.0,1609.0,6335.0,1576.0,2743.0,2789.0,3588.0,2853.0,6289.0,1558.0,1.0,84488091.0,1666293571.4229724
14,475.0,810.0,1182.0,1600.0,6278.0,1556.0,2728.0,2774.0,3576.0,2852.0,6311.0,1568.0,1.0,84493010.0,1666293576.4451764
15,467.0,787.0,1157.0,1573.0,6193.0,1552.0,2509.0,2580.0,3280.0,2706.0,5972.0,1536.0,1.0,84498091.0,1666293581.445941
16,475.0,802.0,1169.0,1582.0,6271.0,1573.0,2710.0,2754.0,3538.0,2817.0,6271.0,1573.0,1.0,84502989.0,1666293586.4199371
17,473.0,802.0,1169.0,1581.0,6273.0,1574.0,2724.0,2766.0,3550.0,2823.0,6281.0,1574.0,1.0,84508111.0,1666293591.4453526
18,476.0,804.0,1173.0,1586.0,6257.0,1560.0,2724.0,2768.0,3553.0,2826.0,6262.0,1561.0,1.0,84512989.0,1666293596.4404662
19,476.0,805.0,1174.0,1588.0,6261.0,1564.0,2718.0,2762.0,3542.0,2818.0,6235.0,1556.0,1.0,84518091.0,1666293601.747761
20,474.0,803.0,1171.0,1585.0,6251.0,1562.0,2727.0,2772.0,3555.0,2825.0,6276.0,1570.0,1.0,84523009.0,1666293606.5235214
21,476.0,804.0,1173.0,1588.0,6284.0,1574.0,2732.0,2777.0,3560.0,2832.0,6287.0,1576.0,1.0,84528091.0,1666293611.8121612
22,476.0,806.0,1174.0,1590.0,6276.0,1570.0,2729.0,2774.0,3560.0,2830.0,6288.0,1578.0,1.0,84532989.0,1666293616.4320765
23,476.0,805.0,1175.0,1590.0,6297.0,1580.0,2735.0,2778.0,3564.0,2836.0,6300.0,1582.0,1.0,84538112.0,1666293621.462011
24,478.0,806.0,1176.0,1591.0,6300.0,1582.0,2735.0,2778.0,3565.0,2836.0,6308.0,1584.0,1.0,84542989.0,1666293626.4516985
25,478.0,806.0,1177.0,1592.0,6314.0,1588.0,2745.0,2788.0,3578.0,2848.0,6313.0,1586.0,1.0,84548091.0,1666293631.4376416
